Data Buffer[5],,,Data_Buffer[5] : Rx 입력 임피던스(Zin) Sensing 값 (High Byte),,,,,,,,,,56,Start Bit
Data Buffer[6],,,Data_Buffer[6] : Tx Buck 컨버터의 출력전압 Ref. (Low Byte),,,,,,,,,,64,Start Bit
Data Buffer[7],,,Data_Buffer[7] :  Tx Buck 컨버터의 출력전압 Ref. (High Byte),,,,,,,,,,72,Start Bit
CRC (CheckSum),,,CheckSum Data,,,,,,,,,,80,Start Bit
,,,,,,,,,,,,,,
Description (Header : 0x51),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,항목,,세부내용,,,,Data Type,Scale Factor,,,,,
,,Data Buffer[0]..[1],,Rx Module의 정류단 전압을 센싱한 값,,,,Uint16,"0.01[V]
(210.95[V] → 21,095)",,,,,
,,Data Buffer[2]..[3],,Rx Module의 정류단 전류를 센싱한 값,,,,Uint16,"0.01[A]
(13.95[A] → 1,395)",,,,,
,,Data Buffer[4]..[5],,Rx Module의 정류단 임피던스를 센싱한 값,,,,Uint16,"0.01[Ω]
(50.15[V] → 5,015)",,,,,
,,Data Buffer[6]..[7],,Tx Buck 컨버터의 출력전압 Ref.,,,,Uint16,"0.01[V]
(179.95[V] → 17,995)",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3.3. Header (0x52) ,,,,,,,,,,,,,,
"▶ Data Handle : Rx Module (Master)의 출력 전압, 전류와 전력소자 주변의 온도 정보를 Bluetooth 통신을 통해 상대물 장치에 전송함.",,,,,,,,,,,,,,
▶ Transmission Mode : Cyclic / 10[ms]  (주기는 개발자에 의해 조정이 가능함),,,,,,,,,,,,,,
구성,,,Bit.7,Bit.6,Bit.5,Bit.4,Bit.3,Bit.2,Bit.1,Bit.0,,,,
HDR? (Header) : 0x52,,,0,1,0,1,0,0,1,0,,,0,Start Bit
Data Length : 0x08,,,0,0,0,0,1,0,0,0,,,8,Start Bit
Data Buffer[0],,,Data_Buffer[0] : Rx Vout Sensing 값 (Low Byte),,,,,,,,,,16,Start Bit
Data Buffer[1],,,Data_Buffer[1] : Rx Vout Sensing 값 (High Byte),,,,,,,,,,24,Start Bit
Data Buffer[2],,,Data_Buffer[2] : Rx Iout Sensing 값 (Low Byte),,,,,,,,,,32,Start Bit
Data Buffer[3],,,Data_Buffer[3] : Rx Iout Sensing 값 (High Byte),,,,,,,,,,40,Start Bit
Data Buffer[4],,,Data_Buffer[4] : Rx Power Stack#1 온도 Sensing 값 (Low Byte),,,,,,,,,,48,Start Bit
Data Buffer[5],,,Data_Buffer[5] : Rx Power Stack#1 온도 Sensing 값 (High Byte),,,,,,,,,,56,Start Bit
Data Buffer[6],,,Data_Buffer[6] : Rx Power Stack#2 온도 Sensing 값 (Low Byte),,,,,,,,,,64,Start Bit
Data Buffer[7],,,Data_Buffer[7] : Rx Power Stack#2 온도 Sensing 값 (High Byte),,,,,,,,,,72,Start Bit
CRC (CheckSum),,,CheckSum Data,,,,,,,,,,80,Start Bit
,,,,,,,,,,,,,,
Description (Header : 0x52),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,항목,,세부내용,,,, Data Type,Scale Factor,,,,,
,,Data Buffer[0]..[1],,Rx Module의 출력단 전압을 센싱한 값,,,,Uint16,"0.01[V]
(47.95[V] → 4,795)",,,,,
,,Data Buffer[2]..[3],,Rx Module의 출력단 전류를 센싱한 값,,,,Uint16,"0.01[A]
(14.53[A] → 1,453)",,,,,
,,Data Buffer[4]..[5],,Rx Module의 Power Stack#1 주변 온도를 센싱한 값,,,,Int16,"0.1[℃]
(120.5[℃] → 1,205)",,,,,
,,Data Buffer[6]..[7],,Rx Module의 Power Stack#2 주변 온도를 센싱한 값,,,,Int16,"0.01[℃]
(120.5[℃] → 1,205)",,,,,
,,,,,,,,,,,,,,
